# Regional religious composition (percent) at historical knot years.
#
# PROTOTYPE SEED DATA, and by far the least certain table in this repository.
# Pre-modern religious demography is reconstructed from fragmentary evidence;
# scholarly estimates for the same region and century routinely differ by tens
# of percentage points. These figures follow the broad contours reported in the
# World Christian Encyclopedia / World Religion Database tradition -- the timing
# of Christianisation, the Islamic expansion after 622, the rise and retreat of
# Buddhism in South Asia -- but the precise numbers are illustrative.
#
# Everything before 1900 is flagged `historical` in the app and should be read
# as "roughly this shape", never as a measurement.
#
# `folk` absorbs every pre-modern ethnic, civic and traditional religion:
# Greco-Roman and Norse polytheism, Chinese folk religion, and the indigenous
# traditions of Africa, the Americas and Oceania. That is a very large amount of
# genuine diversity flattened into one bucket, and it is the single biggest
# simplification in this table.
# The 2010 row is a BRIDGE, not an independent estimate: it is generated to
# equal the modern country rollup for each region. The historical series is
# benchmarked onto it, so if it disagreed with the modern data the whole
# trajectory would be re-levelled by that disagreement -- an authored MENA
# Jewish share 2.2pp too high at 2010 halved the Jewish share in year 0.
# Regenerate with `python -m soulfinder.bridge` after changing country data.
#
# There is deliberately NO 2000 row. An authored 2000 and a derived 2010 sitting
# ten years apart over-specify the last decade: authored SSA folk of 13% in 2000
# against a derived 2.0% in 2010 is a cliff no data supports, and it showed up
# as a 24pp step in Ghana at the handoff. The last authored knot is 1950 and the
# interpolator carries it to the bridge.
region,year,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish
EAS,900,0,0,0,0,26.0,71.0,3.0,0
EAS,1000,0,0,0,0,26.0,71.0,3.0,0
EAS,1200,0,0.5,0,0,25.5,71.0,3.0,0
EAS,1400,0,1.0,0,0,25.0,71.0,3.0,0
EAS,1500,0,1.0,0,0,25.0,71.0,3.0,0
EAS,1600,0.3,1.2,0,0,25.0,70.5,3.0,0
EAS,1700,0.6,1.4,0,0,25.0,70.0,3.0,0
EAS,1800,1.0,1.5,0,0,25.0,69.5,3.0,0
EAS,1900,2.0,1.7,1.3,0,25.0,67.0,3.0,0
EAS,1950,2.5,1.8,22.0,0,22.0,50.0,1.7,0
EAS,2010,5.59,1.61,52.41,0.05,19.86,19.42,1.01,0.05
SEA,0,0,0,0,3.0,0,97.0,0,0
SEA,100,0,0,0,5.0,0,95.0,0,0
SEA,200,0,0,0,6.0,1.0,93.0,0,0
SEA,300,0,0,0,7.0,3.0,90.0,0,0
SEA,400,0,0,0,8.0,5.0,87.0,0,0
SEA,500,0,0,0,9.0,7.0,84.0,0,0
SEA,600,0,0,0,10.0,10.0,80.0,0,0
SEA,700,0,0,0,11.0,13.0,76.0,0,0
SEA,800,0,0,0,12.0,16.0,72.0,0,0
SEA,900,0,0,0,12.0,19.0,69.0,0,0
SEA,1000,0,0,0,12.0,22.0,66.0,0,0
SEA,1200,0,1.5,0,10.5,28.0,60.0,0,0
SEA,1400,0,8.0,0,7.0,32.0,53.0,0,0
SEA,1500,0,14.0,0,6.0,33.0,47.0,0,0
SEA,1600,1.5,21.0,0,4.5,32.0,41.0,0,0
SEA,1700,3.0,26.0,0,3.0,32.0,36.0,0,0
SEA,1800,5.0,30.0,0,2.0,31.0,32.0,0,0
SEA,1900,9.0,34.0,0,1.8,29.0,26.0,0.2,0
SEA,1950,12.0,37.0,0.3,1.7,26.0,23.0,0.3,0
SEA,2010,21.89,42.20,4.68,1.19,21.75,8.02,0.22,0.05
AMR,0,0,0,0,0,0,100,0,0
AMR,100,0,0,0,0,0,100,0,0
AMR,200,0,0,0,0,0,100,0,0
AMR,300,0,0,0,0,0,100,0,0
AMR,400,0,0,0,0,0,100,0,0
AMR,500,0,0,0,0,0,100,0,0
AMR,600,0,0,0,0,0,100,0,0
AMR,700,0,0,0,0,0,100,0,0
AMR,800,0,0,0,0,0,100,0,0
AMR,900,0,0,0,0,0,100,0,0
AMR,1000,0,0,0,0,0,100,0,0
AMR,1200,0,0,0,0,0,100,0,0
AMR,1400,0,0,0,0,0,100,0,0
AMR,1500,3.0,0,0,0,0,97.0,0,0
AMR,1600,55.0,0,0,0,0,45.0,0,0
AMR,1700,80.0,0,0,0,0,20.0,0,0
AMR,1800,89.0,0,0,0,0,10.0,0.9,0.1
AMR,1900,95.0,0,0,0,0,3.0,1.2,0.8
AMR,1950,94.0,0,3.0,0,0,1.0,0.8,1.2
AMR,2010,82.63,0.59,13.39,0.44,0.45,0.91,0.73,0.86
OCE,0,0,0,0,0,0,100,0,0
OCE,100,0,0,0,0,0,100,0,0
OCE,200,0,0,0,0,0,100,0,0
OCE,300,0,0,0,0,0,100,0,0
OCE,400,0,0,0,0,0,100,0,0
OCE,500,0,0,0,0,0,100,0,0
OCE,600,0,0,0,0,0,100,0,0
OCE,700,0,0,0,0,0,100,0,0
OCE,800,0,0,0,0,0,100,0,0
OCE,900,0,0,0,0,0,100,0,0
OCE,1000,0,0,0,0,0,100,0,0
OCE,1200,0,0,0,0,0,100,0,0
OCE,1400,0,0,0,0,0,100,0,0
OCE,1500,0,0,0,0,0,100,0,0
OCE,1600,0.5,0,0,0,0,99.5,0,0
OCE,1700,2.0,0,0,0,0,98.0,0,0
OCE,1800,10.0,0,0,0,0,90.0,0,0
OCE,1900,78.0,0,0,0,0,20.0,2.0,0
OCE,1950,85.0,0,5.0,0,0,8.0,2.0,0
OCE,2010,67.30,2.40,24.20,1.40,2.70,0.40,1.10,0.50
