# Approximate national religious composition, percent of population.
# PROTOTYPE SEED DATA -- approximations of publicly reported Pew Research Center
# "Global Religious Landscape" (2010) and "Religious Composition by Country,
# 2010-2050" figures, rounded. These are NOT authoritative. See sources/README.md
# for how to drop in the real distributed files; the loader accepts this schema
# verbatim. Blank cells are read as 0. Rows are renormalised to sum to 1.
iso3,country,year,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish
ETH,Ethiopia,2010,62.8,34.6,0.0,0.0,0.0,2.4,0.2,0.0
ETH,Ethiopia,2050,62.0,35.5,0.0,0.0,0.0,2.3,0.2,0.0
PHL,Philippines,2010,92.6,5.5,0.1,0.0,0.1,1.5,0.2,0.0
PHL,Philippines,2050,91.5,6.7,0.2,0.0,0.0,1.4,0.2,0.0
EGY,Egypt,2010,5.1,94.9,0.0,0.0,0.0,0.0,0.0,0.0
EGY,Egypt,2050,4.5,95.5,0.0,0.0,0.0,0.0,0.0,0.0
VNM,Vietnam,2010,8.2,0.2,29.6,0.0,16.4,45.3,0.3,0.0
VNM,Vietnam,2050,9.0,0.2,31.0,0.0,15.0,44.5,0.3,0.0
COD,DR Congo,2010,95.8,1.5,0.0,0.0,0.0,2.4,0.3,0.0
COD,DR Congo,2050,95.5,1.8,0.0,0.0,0.0,2.4,0.3,0.0
TUR,Turkey,2010,0.4,98.0,1.2,0.0,0.0,0.0,0.4,0.0
TUR,Turkey,2050,0.4,97.5,1.7,0.0,0.0,0.0,0.4,0.0
IRN,Iran,2010,0.4,99.5,0.0,0.0,0.0,0.0,0.1,0.0
IRN,Iran,2050,0.4,99.2,0.3,0.0,0.0,0.0,0.1,0.0
DEU,Germany,2010,68.7,5.8,24.7,0.1,0.3,0.0,0.1,0.3
DEU,Germany,2030,62.0,8.0,29.0,0.2,0.4,0.0,0.1,0.3
DEU,Germany,2050,56.0,10.0,33.0,0.2,0.4,0.0,0.1,0.3
THA,Thailand,2010,0.9,5.5,0.3,0.0,93.2,0.1,0.0,0.0
THA,Thailand,2050,1.1,6.8,0.4,0.0,91.6,0.1,0.0,0.0
GBR,United Kingdom,2010,64.3,4.8,27.8,1.3,0.4,0.0,0.9,0.5
GBR,United Kingdom,2030,54.5,8.0,33.9,1.6,0.5,0.0,1.0,0.5
GBR,United Kingdom,2050,45.4,11.3,39.4,2.0,0.5,0.0,0.9,0.5
FRA,France,2010,63.0,7.5,28.0,0.0,0.5,0.0,0.5,0.5
FRA,France,2050,53.0,12.7,32.5,0.0,0.6,0.0,0.8,0.4
ZAF,South Africa,2010,81.2,1.7,14.9,1.1,0.0,0.6,0.3,0.2
ZAF,South Africa,2050,80.0,2.2,15.5,1.1,0.0,0.6,0.5,0.1
ITA,Italy,2010,83.3,3.7,12.4,0.1,0.2,0.0,0.2,0.1
ITA,Italy,2050,75.0,9.5,14.5,0.3,0.3,0.0,0.3,0.1
MMR,Myanmar,2010,7.8,4.0,0.0,1.7,80.1,5.8,0.6,0.0
MMR,Myanmar,2050,7.9,4.4,0.1,1.6,79.8,5.6,0.6,0.0
KOR,South Korea,2010,29.4,0.2,46.4,0.0,22.9,0.9,0.2,0.0
KOR,South Korea,2050,30.0,0.3,50.0,0.0,18.5,1.0,0.2,0.0
ESP,Spain,2010,78.6,2.1,19.0,0.0,0.1,0.0,0.2,0.0
ESP,Spain,2050,67.0,5.5,27.0,0.0,0.2,0.0,0.3,0.0
COL,Colombia,2010,92.5,0.0,6.6,0.0,0.0,0.6,0.3,0.0
COL,Colombia,2050,89.0,0.0,10.0,0.0,0.0,0.7,0.3,0.0
ARG,Argentina,2010,85.2,1.0,12.2,0.0,0.0,0.9,0.2,0.5
ARG,Argentina,2050,81.0,1.3,16.2,0.0,0.0,1.0,0.2,0.3
POL,Poland,2010,94.3,0.1,5.6,0.0,0.0,0.0,0.0,0.0
POL,Poland,2050,90.0,0.3,9.7,0.0,0.0,0.0,0.0,0.0
UKR,Ukraine,2010,83.8,1.2,14.7,0.0,0.0,0.0,0.1,0.2
UKR,Ukraine,2050,82.0,2.0,15.7,0.0,0.0,0.0,0.1,0.2
CAN,Canada,2010,69.0,2.1,23.7,1.4,0.8,0.2,1.8,1.0
CAN,Canada,2030,62.0,3.8,27.9,1.9,1.0,0.2,2.3,0.9
CAN,Canada,2050,55.0,5.5,32.0,2.4,1.1,0.2,3.0,0.8
SAU,Saudi Arabia,2010,4.4,93.0,0.7,1.1,0.3,0.0,0.5,0.0
SAU,Saudi Arabia,2050,4.6,92.6,0.9,1.2,0.3,0.0,0.4,0.0
DZA,Algeria,2010,0.2,97.9,1.8,0.0,0.0,0.0,0.1,0.0
DZA,Algeria,2050,0.2,97.8,1.9,0.0,0.0,0.0,0.1,0.0
MAR,Morocco,2010,0.1,99.9,0.0,0.0,0.0,0.0,0.0,0.0
MAR,Morocco,2050,0.1,99.8,0.1,0.0,0.0,0.0,0.0,0.0
SDN,Sudan,2010,5.4,90.7,0.0,0.0,0.0,2.8,1.1,0.0
SDN,Sudan,2050,4.9,91.5,0.0,0.0,0.0,2.6,1.0,0.0
IRQ,Iraq,2010,0.8,99.0,0.0,0.0,0.0,0.0,0.2,0.0
IRQ,Iraq,2050,0.4,99.4,0.0,0.0,0.0,0.0,0.2,0.0
AFG,Afghanistan,2010,0.0,99.7,0.0,0.0,0.0,0.0,0.3,0.0
AFG,Afghanistan,2050,0.0,99.7,0.0,0.0,0.0,0.0,0.3,0.0
UZB,Uzbekistan,2010,2.3,96.7,0.8,0.0,0.0,0.0,0.1,0.1
UZB,Uzbekistan,2050,2.0,97.2,0.7,0.0,0.0,0.0,0.1,0.0
NPL,Nepal,2010,1.0,4.6,0.0,80.7,10.3,3.1,0.3,0.0
NPL,Nepal,2050,1.4,5.4,0.1,79.5,10.0,3.3,0.3,0.0
LKA,Sri Lanka,2010,7.2,9.8,0.0,13.6,69.3,0.0,0.1,0.0
LKA,Sri Lanka,2050,7.0,10.6,0.1,13.4,68.8,0.0,0.1,0.0
MYS,Malaysia,2010,9.4,63.7,0.0,6.0,17.7,2.3,0.9,0.0
MYS,Malaysia,2050,9.1,66.5,0.1,5.7,16.4,1.4,0.8,0.0
AUS,Australia,2010,67.3,2.4,24.2,1.4,2.7,0.4,1.1,0.5
AUS,Australia,2030,60.5,3.6,28.7,2.0,2.9,0.4,1.4,0.5
AUS,Australia,2050,54.0,4.9,33.0,2.7,3.0,0.4,1.6,0.4
KEN,Kenya,2010,84.8,9.7,2.6,0.0,0.0,2.5,0.4,0.0
KEN,Kenya,2050,84.0,10.6,2.6,0.0,0.0,2.4,0.4,0.0
TZA,Tanzania,2010,61.4,35.2,0.3,0.0,0.0,3.0,0.1,0.0
TZA,Tanzania,2050,61.0,35.8,0.3,0.0,0.0,2.8,0.1,0.0
UGA,Uganda,2010,86.7,11.5,0.0,0.0,0.0,1.5,0.3,0.0
UGA,Uganda,2050,86.0,12.3,0.1,0.0,0.0,1.4,0.2,0.0
GHA,Ghana,2010,74.9,15.8,3.8,0.0,0.0,5.2,0.3,0.0
GHA,Ghana,2050,74.0,17.0,3.8,0.0,0.0,4.9,0.3,0.0
PER,Peru,2010,95.5,0.0,3.0,0.0,0.0,1.0,0.5,0.0
PER,Peru,2050,92.0,0.0,6.4,0.0,0.0,1.1,0.5,0.0
VEN,Venezuela,2010,89.3,0.0,10.0,0.0,0.0,0.0,0.7,0.0
VEN,Venezuela,2050,86.0,0.1,13.2,0.0,0.0,0.0,0.7,0.0
NLD,Netherlands,2010,50.6,6.0,42.1,0.6,0.2,0.0,0.3,0.2
NLD,Netherlands,2050,41.0,9.1,48.8,0.7,0.2,0.0,0.1,0.1
SWE,Sweden,2010,67.2,4.6,27.0,0.0,0.4,0.0,0.6,0.2
SWE,Sweden,2050,55.0,9.6,34.4,0.1,0.4,0.0,0.4,0.1
ISR,Israel,2010,2.0,18.6,3.1,0.0,0.0,0.0,0.7,75.6
ISR,Israel,2050,1.8,21.0,3.5,0.0,0.0,0.0,0.7,73.0
ROW,Rest of world,2010,44.0,26.0,12.0,1.0,4.0,12.0,0.8,0.2
ROW,Rest of world,2050,43.0,29.5,11.5,1.0,3.4,10.8,0.7,0.1
