# Real metropolitan-area coordinates and approximate metro populations.
# These anchor the dasymetric density field: religious population is
# redistributed within an admin unit toward where people actually live,
# instead of being smeared uniformly across the polygon.
# admin1_code is populated for US cities only (used for the state drill-down).
name,iso3,admin1_code,lat,lon,population_millions
Charlotte,USA,NC,35.2271,-80.8431,2.7
Orlando,USA,FL,28.5383,-81.3792,2.7
San Antonio,USA,TX,29.4241,-98.4936,2.6
Portland,USA,OR,45.5152,-122.6784,2.5
Sacramento,USA,CA,38.5816,-121.4944,2.4
Newark,USA,NJ,40.7357,-74.1724,2.4
Pittsburgh,USA,PA,40.4406,-79.9959,2.3
Las Vegas,USA,NV,36.1699,-115.1398,2.3
Austin,USA,TX,30.2672,-97.7431,2.3
Cincinnati,USA,OH,39.1031,-84.5120,2.3
Kansas City,USA,MO,39.0997,-94.5786,2.2
Columbus,USA,OH,39.9612,-82.9988,2.1
Cleveland,USA,OH,41.4993,-81.6944,2.1
Indianapolis,USA,IN,39.7684,-86.1581,2.1
San Jose,USA,CA,37.3382,-121.8863,2.0
Nashville,USA,TN,36.1627,-86.7816,2.0
Virginia Beach,USA,VA,36.8529,-75.9780,1.8
Providence,USA,RI,41.8240,-71.4128,1.7
Milwaukee,USA,WI,43.0389,-87.9065,1.6
Jacksonville,USA,FL,30.3322,-81.6557,1.6
Oklahoma City,USA,OK,35.4676,-97.5164,1.4
Raleigh,USA,NC,35.7796,-78.6382,1.4
Memphis,USA,TN,35.1495,-90.0490,1.3
Richmond,USA,VA,37.5407,-77.4360,1.3
Louisville,USA,KY,38.2527,-85.7585,1.3
New Orleans,USA,LA,29.9511,-90.0715,1.3
Salt Lake City,USA,UT,40.7608,-111.8910,1.2
Hartford,USA,CT,41.7658,-72.6734,1.2
Buffalo,USA,NY,42.8864,-78.8784,1.2
Birmingham,USA,AL,33.5186,-86.8104,1.1
Rochester,USA,NY,43.1566,-77.6088,1.1
Grand Rapids,USA,MI,42.9634,-85.6681,1.1
Tucson,USA,AZ,32.2226,-110.9747,1.0
Honolulu,USA,HI,21.3069,-157.8583,1.0
Tulsa,USA,OK,36.1540,-95.9928,1.0
Fresno,USA,CA,36.7378,-119.7871,1.0
Omaha,USA,NE,41.2565,-95.9345,0.97
Albuquerque,USA,NM,35.0844,-106.6504,0.92
Bakersfield,USA,CA,35.3733,-119.0187,0.91
Albany,USA,NY,42.6526,-73.7562,0.90
Knoxville,USA,TN,35.9606,-83.9207,0.87
Baton Rouge,USA,LA,30.4515,-91.1871,0.87
New Haven,USA,CT,41.3083,-72.9279,0.86
Columbia,USA,SC,34.0007,-81.0348,0.84
Charleston,USA,SC,32.7765,-79.9311,0.81
Boise,USA,ID,43.6150,-116.2023,0.76
Little Rock,USA,AR,34.7465,-92.2896,0.75
Wilmington,USA,DE,39.7391,-75.5398,0.72
Des Moines,USA,IA,41.5868,-93.6250,0.71
Madison,USA,WI,43.0731,-89.4012,0.68
Wichita,USA,KS,37.6872,-97.3301,0.65
Jackson,USA,MS,32.2988,-90.1848,0.59
Spokane,USA,WA,47.6588,-117.4260,0.58
Portland ME,USA,ME,43.6591,-70.2568,0.55
Reno,USA,NV,39.5296,-119.8138,0.49
Manchester,USA,NH,42.9956,-71.4548,0.42
Anchorage,USA,AK,61.2181,-149.9003,0.40
Sioux Falls,USA,SD,43.5460,-96.7313,0.28
Fargo,USA,ND,46.8772,-96.7898,0.25
Charleston WV,USA,WV,38.3498,-81.6326,0.25
Burlington,USA,VT,44.4759,-73.2121,0.22
Billings,USA,MT,45.7833,-108.5007,0.18
Cheyenne,USA,WY,41.1400,-104.8202,0.10
